;;Gross domestic Product (GDP);;;;;;;;;;;;;;;;Debts;;;;;;Prices;;;;
;Tuvalu;0;;3,489;;..;;..;;..;;..;;..;;22.8;;..;;..;;..;;..;;..;;..
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Human Development Groups;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Very high human development;45,473.50;;40,397;;18.2;;19.2;;0.7;;37.2;;2.5;;1.5;;203.4;;..;;..;;„;;„;;„
;High human development;31,426.40;;12,920;;33;;14.9;;21.9;;23.5;;..;;7.8;;109.5;;20.7;;2.74;;„;;„;;„
;Medium human development;12,959.80;;5,875;;27.4;;12;;6.3;;..;;..;;14.4;;72.5;;23.8;;2.17;;„;;„;;„
;Low human development;3,010.10;;2,830;;17.1;;12.6;;6.3;;..;;..;;28.1;;32.8;;23.4;;1.17;;„;;„;;„
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Regions;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Arab States;5,098.00;;16,367;;23.7;;14.5;;..;;..;;..;;8.1;;24.8;;..;;..;;„;;„;;„
;East Asia and the Pacific;19,423.30;;10,151;;..;;..;;..;;..;;..;;10.7;;139.8;;..;;..;;„;;„;;„
;Europe and Central Asia;2,879.70;;12,453;;22;;15;;4.5;;23.8;;0.7;;9;;62.8;;50;;9.19;;„;;„;;„
;Latin America and the Caribbean;7,482.50;;13,554;;20.1;;16.6;;37;;..;;..;;5.6;;73;;22.7;;3.18;;„;;„;;„
;South Asia;8,878.40;;5,147;;27;;11.3;;1.2;;41.9;;..;;18.1;;72.1;;20;;1.43;;„;;„;;„
;Sub-Saharan Africa;2,797.20;;3,237;;21;;17.8;;5.8;;..;;..;;18.4;;77.2;;24;;1.24;;„;;„;;„
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Least developed countries;1,602.40;;1,971;;21.6;;12.4;;6.1;;..;;..;;24.6;;31.5;;27.4;;1.22;;„;;„;;„
;Small island developing states;286.4;;6,736;;..;;..;;..;;..;;..;;8.7;;52.5;;..;;..;;„;;„;;„
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;World;92,889.40;;13,599;;22.6;;17.6;;5.8;;..;;..;;4.4;;168;;..;;..;;„;;„;;„
